ticker,conm,year,fyr,roe,profit_margin,debt_ratio,asset_turnover,current_ratio
AAPL,APPLE INC,2015,9,0.44735453060198566,0.22845773698735639,0.5891097118896719,0.8045848409007191,1.1087706239920605
AAPL,APPLE INC,2016,9,0.3562366958026963,0.21240777159434843,0.6013224075651412,0.6686364964592801,1.352669417512594
AAPL,APPLE INC,2017,9,0.3607018433832909,0.21092420845075338,0.6428451530564666,0.6107711040474902,1.2760628484139107
AAPL,APPLE INC,2018,9,0.5556011834209077,0.22434136396353618,0.7070285050242668,0.7255697586984756,1.1238426916297297
AAPL,APPLE INC,2019,9,0.6106445053487756,0.21238094505984456,0.7326921031797611,0.7685722388306608,1.540125617208044
AAPL,APPLE INC,2020,9,0.8786635853012749,0.20913611278072236,0.7982666847799239,0.8475615027416885,1.3636044481554577
AAPL,APPLE INC,2021,9,1.5007132667617689,0.2588179335569424,0.8202574344305731,1.042207736708053,1.0745531195957954
AAPL,APPLE INC,2022,9,1.9695887275023682,0.2530964070519973,0.8563535598361469,1.1178523337727317,0.8793560286267226
AAPL,APPLE INC,2023,9,1.5607601454639075,0.2530623426432028,0.8237407929480435,1.087077369016657,0.9880116717592975
AAPL,APPLE INC,2024,9,1.6459350307287095,0.23971255769943867,0.8439640528248123,1.0713874732862074,0.8673125765340832
ADBE,ADOBE INC,2015,11,0.08991556191602468,0.13127923176487344,0.40292527880508305,0.40894746518816577,2.1783465157420907
ADBE,ADOBE INC,2016,11,0.15741521528761243,0.1996406140307425,0.41569462586075806,0.4607206640311876,2.0770028826643574
ADBE,ADOBE INC,2017,11,0.20023406981833877,0.232000662877037,0.41798793248775623,0.5023203102791527,2.054685003956108
ADBE,ADOBE INC,2018,11,0.27672959333757313,0.28690716553075035,0.5011842600348815,0.4811210504818612,1.1292482480169146
ADBE,ADOBE INC,2019,11,0.28028628258558397,0.2642001192878499,0.49282573305590877,0.5380542230185335,0.7929403201440421
ADBE,ADOBE INC,2020,11,0.396562123039807,0.4087659309916071,0.4537967385933125,0.5298962279690331,1.477866473149492
ADBE,ADOBE INC,2021,11,0.3258768669324863,0.3054798859676908,0.4568114239565361,0.5794574354832789,1.2505770340450086
ADBE,ADOBE INC,2022,11,0.3384812468863426,0.27013518118823127,0.4827535431621572,0.64811338118903,1.106791338582677
ADBE,ADOBE INC,2023,11,0.32861121201113935,0.2796640733680251,0.4453138117465328,0.6517680244467577,1.3433523209307963
ADBE,ADOBE INC,2024,11,0.3941864587025877,0.25854452452917925,0.5334105193516374,0.711379424412835,1.067579127459367
AVGO,BROADCOM INC,2015,10,0.28935086974968177,0.19988276670574442,0.5549471299093656,0.6442598187311178,3.3735478105451295
AVGO,BROADCOM INC,2016,10,-0.09204954478085962,-0.13134441087613294,0.5621822839530881,0.26498018652683825,2.314814814814815
AVGO,BROADCOM INC,2017,10,0.08341138772491989,0.0959401224767521,0.5739277444963063,0.3240839428130398,6.256623171213919
AVGO,BROADCOM INC,2018,10,0.4598792062122519,0.5880180353031466,0.4681789162876067,0.41592849732662995,3.895209580838323
AVGO,BROADCOM INC,2019,10,0.10909090909090909,0.12054697526220294,0.630035707406694,0.3348050908983154,1.437454703580229
AVGO,BROADCOM INC,2020,10,0.12384419061963935,0.12391158740790355,0.6852356682865157,0.31459312815245016,1.8670538377020875
AVGO,BROADCOM INC,2021,10,0.26955860578654606,0.24539162112932605,0.6693264522958846,0.3632393807066296,2.6406623149180066
AVGO,BROADCOM INC,2022,10,0.5061869743273592,0.3462036562961178,0.689975289765048,0.4532894647025898,2.6239364719228586
AVGO,BROADCOM INC,2023,10,0.5870435217608805,0.39314330383316115,0.6707703709803599,0.4916073070641358,2.8152599594868333
AVGO,BROADCOM INC,2024,10,0.08710363781435622,0.11430177996664986,0.5914274502701561,0.3113525913851912,1.1735641133137689
BAC,BANK OF AMERICA CORP,2015,12,0.062012841279444196,0.17073590096286106,0.8805190093251182,0.043396588935585984,
BAC,BANK OF AMERICA CORP,2016,12,0.06710388247639035,0.19117678460848583,0.8780272633109995,0.04281296081458992,
BAC,BANK OF AMERICA CORP,2017,12,0.06824732543253502,0.18156288277881236,0.8828940827639777,0.04401871969293812,
BAC,BANK OF AMERICA CORP,2018,12,0.1060849901064732,0.25286354693521873,0.8873118661358832,0.04727656362881911,
BAC,BANK OF AMERICA CORP,2019,12,0.10358370152184586,0.24148465080245446,0.8912073108555638,0.04666611067266099,
BAC,BANK OF AMERICA CORP,2020,12,0.06556403980595331,0.1908632257101106,0.903205636773942,0.03325014266071363,
BAC,BANK OF AMERICA CORP,2021,12,0.11840809283656588,0.3407315851722411,0.9147921041049126,0.029610710854568314,
BAC,BANK OF AMERICA CORP,2022,12,0.10076245346764423,0.23926364371202838,0.9104675760927451,0.03770529679242964,
BAC,BANK OF AMERICA CORP,2023,12,0.09091501340666425,0.15281363824980404,0.9082917760823307,0.054560931226221646,
BAC,BANK OF AMERICA CORP,2024,12,0.09179893016284396,0.1409937952752632,0.9093799545549175,0.059001342625935954,
JNJ,JOHNSON & JOHNSON,2015,12,0.21657062543921293,0.21989610982675456,0.4666856556056097,0.5252490424327829,2.1699643204670775
JNJ,JOHNSON & JOHNSON,2016,12,0.2348831264733449,0.23007372374460983,0.5013172058240326,0.5091071327403547,2.473922471183475
JNJ,JOHNSON & JOHNSON,2017,12,0.02160904255319149,0.017004578155657292,0.6175533842329771,0.4860047170111187,1.4110095949176409
JNJ,JOHNSON & JOHNSON,2018,12,0.25600816709064134,0.18750689498780354,0.6093466009388444,0.5333695097872563,1.4739993595901377
JNJ,JOHNSON & JOHNSON,2019,12,0.2542247481966,0.1842454819093579,0.6229521708257253,0.5202563907486305,1.2588699810922033
JNJ,JOHNSON & JOHNSON,2020,12,0.23252947311861943,0.17817010558946042,0.6381922764646014,0.47219458643521217,1.205775068834867
JNJ,JOHNSON & JOHNSON,2021,12,0.28204747173175904,0.22263929618768327,0.5933204408355217,0.5151962992671054,1.3483173395834254
JNJ,JOHNSON & JOHNSON,2022,12,0.233594604447685,0.18896601118565876,0.5901119661859984,0.5066923544919895,0.9908963836421634
JNJ,JOHNSON & JOHNSON,2023,12,0.511137930031698,0.41279254101151963,0.5895510808197758,0.5082359541173802,1.1558489261483946
JNJ,JOHNSON & JOHNSON,2024,12,0.19675479087984332,0.1583634500850024,0.6030626748989473,0.49316506018744727,1.1107291190556627
JPM,JPMORGAN CHASE & CO,2015,12,0.0987264362430475,0.2432233411614855,0.8947258534046464,0.042731677281691784,
JPM,JPMORGAN CHASE & CO,2016,12,0.09730123136236674,0.2344671330792712,0.8979554968903705,0.04234732465880789,
JPM,JPMORGAN CHASE & CO,2017,12,0.09558728631601178,0.21580694721599236,0.8990791758762235,0.04470082096621408,
JPM,JPMORGAN CHASE & CO,2018,12,0.12659688517240708,0.24711594070556722,0.9021880381249876,0.0501088261268118,
JPM,JPMORGAN CHASE & CO,2019,12,0.13940611487391422,0.25579615508839926,0.9027565520159233,0.05299661863845777,
JPM,JPMORGAN CHASE & CO,2020,12,0.10427987428137775,0.22494459587808777,0.9174990719332229,0.038245801697601736,
JPM,JPMORGAN CHASE & CO,2021,12,0.16433037429409744,0.37997830222795237,0.9214313514356762,0.03397882287134169,
JPM,JPMORGAN CHASE & CO,2022,12,0.12888086148625535,0.24339759160680138,0.9202530019153007,0.04222663727380779,
JPM,JPMORGAN CHASE & CO,2023,12,0.15112938349020064,0.20968977322257534,0.9153949031749812,0.06097729959258325,
JPM,JPMORGAN CHASE & CO,2024,12,0.16960012530528662,0.2097215596675789,0.9138710916869982,0.06965174999387931,
MSFT,MICROSOFT CORP,2015,6,0.15225453591898405,0.13029493481513144,0.545558752262758,0.5310317041475857,2.501343816438686
MSFT,MICROSOFT CORP,2016,6,0.23331527702543162,0.19688232536333802,0.6282951459518622,0.44048860573894905,2.3528817157201343
MSFT,MICROSOFT CORP,2017,6,0.2928972014255325,0.23573096164535853,0.6997171133952199,0.3731033738997702,2.4772730794861064
MSFT,MICROSOFT CORP,2018,6,0.20033124591987234,0.1501540413193186,0.6804379404129064,0.4263505995796761,2.900800164136233
MSFT,MICROSOFT CORP,2019,6,0.3834652594547054,0.3118171054409065,0.6428970253632798,0.43915674423149403,2.5288389513108616
MSFT,MICROSOFT CORP,2020,6,0.37429841763592103,0.3096248645247002,0.6073691302342098,0.4746424790332912,2.5157654542940118
MSFT,MICROSOFT CORP,2021,6,0.4315223821731414,0.36451739564989766,0.5746047534446445,0.5035906992351227,2.0799936835218875
MSFT,MICROSOFT CORP,2022,6,0.4367546925099975,0.3668633681343622,0.5435204473193729,0.5434437013485364,1.7846069708251824
MSFT,MICROSOFT CORP,2023,6,0.35088714643856406,0.3414623787839464,0.499429578422044,0.5143867603938094,1.76916725076573
MSFT,MICROSOFT CORP,2024,6,0.32828137978299815,0.35955972944084985,0.47579774407756903,0.47860153896318164,1.2749549031815206
NVDA,NVIDIA CORP,2015,1,0.14273190791632923,0.13469743823943872,0.38650795237793706,0.6500857892555969,6.376234054663348
NVDA,NVIDIA CORP,2016,1,0.13739091519355562,0.12255489021956088,0.39362279511533244,0.6797829036635007,2.5746490854955337
NVDA,NVIDIA CORP,2017,1,0.28913571676501215,0.2410998552821997,0.41449039731734577,0.7021644141855502,4.774049217002237
NVDA,NVIDIA CORP,2018,1,0.4078436621603534,0.3136709903232448,0.3353794146428254,0.8641579930611155,8.026886383347788
NVDA,NVIDIA CORP,2019,1,0.44326696638835367,0.35344827586206895,0.29717123081552815,0.8814324405657539,7.943566591422122
NVDA,NVIDIA CORP,2020,1,0.22910521140609635,0.2560908591317091,0.29517759168351143,0.630551544903263,7.673766816143497
NVDA,NVIDIA CORP,2021,1,0.2564375776949032,0.25979010494752625,0.4132541419193498,0.5791740474453823,4.090445859872611
NVDA,NVIDIA CORP,2022,1,0.3664512250112731,0.3623393029649996,0.3977414171588929,0.6090931721999683,6.650288350634371
